股票代码,公司简称,cos,Indcd,文字数量
300606,金太阳,0.245871489163681,C30,18854
300504,天邑股份,0.2457032740552037,C39,21143
688051,佳华科技,0.2456531992758845,I65,13137
002912,中新赛克,0.2456530469415664,I65,24450
300280,紫天科技,0.24530532304503164,C34,13881
300634,彩讯股份,0.24527566568348622,I65,32301
300806,斯迪克,0.24521460240283527,C29,22889
000816,智慧农业,0.244934378763065,C34,16244
002886,沃特股份,0.24469920658112007,C29,21211
000010,美丽生态,0.24445174415946297,F52,13323
300176,派生科技,0.24428990072105372,C34,15359
300561,汇金科技,0.24426194458892497,I65,21208
300684,中石科技,0.24418555373487696,C26,15751
603712,七一二,0.24415455904499533,C39,16008
300445,康斯特,0.24391398354197766,C40,24445
300830,金现代,0.24385098720339854,I65,17135
300879,大叶股份,0.24383061519979593,C35,16600
688519,南亚新材,0.24360864453820746,C39,13918
300845,捷安高科,0.2433671174475366,I65,17742
300976,达瑞电子,0.24334166698118415,C39,15478
300812,易天股份,0.24329155149240372,C35,19889
002158,汉钟精机,0.2432751354465335,C34,18878
300546,雄帝科技,0.2432053736110797,C39,19328
300410,正业科技,0.24318717831832787,C40,11954
002189,中光学,0.24316169079903388,C39,16050
002126,银轮股份,0.24315292375678346,C36,17963
603655,朗博科技,0.24313512653701494,C29,11206
300706,阿石创,0.24300258825246504,C41,14911
300780,德恩精工,0.2429641020386667,C34,15776
000757,浩物股份,0.24260765467614714,C34,18088
000400,许继电气,0.24249999088690397,C38,17039
300560,中富通,0.24230080779885887,I65,14685
688133,泰坦科技,0.24222562839527711,M73,17674
002975,博杰股份,0.24221866358038913,C35,12419
002655,共达电声,0.24213759812328514,C39,9002
002819,东方中科,0.24205404040819178,F51,17608
002725,跃岭股份,0.24184301603050967,C36,18325
002335,科华数据,0.24165850440497727,C38,21788
002075,沙钢股份,0.24149028801470068,C32,14749
300380,安硕信息,0.24136147500885555,I65,17892
300900,广联航空,0.2413589447137949,C37,19232
002243,力合科创,0.2412830450440432,C29,19556
300846,首都在线,0.24123441017489122,I65,20495
688128,中国电研,0.24116632557371437,M74,28864
601117,中国化学,0.24115088295030535,M75,26365
002970,锐明技术,0.24113204159066717,C39,23969
002026,山东威达,0.24108259759328118,C33,21374
688396,华润微,0.24094768725056018,C39,24817
000927,中国铁物,0.2407858894685883,C36,20144
300691,联合光电,0.2406448978588052,C39,19401
300853,申昊科技,0.24051023131297816,C34,14812
300417,南华仪器,0.2404824934005512,C40,16093
002203,海亮股份,0.2403890567568891,C32,28011
000948,南天信息,0.24035793357069254,I65,23634
000996,中国中期,0.24014340012556215,S90,8761
002047,宝鹰股份,0.2401422199513331,C33,25857
002012,凯恩股份,0.24004311909586187,C22,20094
300402,宝色股份,0.2399502430570997,C35,24150
300866,安克创新,0.2398037488226275,C39,21731
300771,智莱科技,0.23979225280743824,C35,23219
002953,日丰股份,0.23977270708073195,C38,14304
000612,焦作万方,0.23953021983477304,C32,12927
002495,佳隆股份,0.23948010122020663,C14,19469
002087,新野纺织,0.23944803399684556,C17,14036
002884,凌霄泵业,0.23942716234499112,C34,22124
300612,宣亚国际,0.23923083424935293,L72,27087
003007,直真科技,0.23910067265067128,I65,22661
300607,拓斯达,0.23876709835787682,C34,13359
002615,哈尔斯,0.2385700267227768,C33,20654
300703,创源股份,0.23855293459301116,C24,26351
603030,全筑股份,0.2383144919437668,E50,13129
300478,杭州高新,0.2381924953669871,C29,16559
300085,银之杰,0.23800040749315202,I65,26467
002450,ST康得,0.23780717742354032,C26,11372
300930,屹通新材,0.2375809436461261,C42,12538
002987,京北方,0.2375496927454028,I65,21272
300419,浩丰科技,0.23731839452454676,I65,13983
300839,博汇股份,0.23729193045831107,C25,18360
300281,金明精机,0.23727253108733476,C35,24296
002310,东方园林,0.23727200047310026,E50,23109
002933,新兴装备,0.2371842073527039,C37,21605
000751,锌业股份,0.23709943797963048,C32,13279
300632,光莆股份,0.23703338498008153,C39,21222
002980,华盛昌,0.23693395506151396,C40,17492
002040,南京港,0.23692214811048445,G58,11903
300671,富满电子,0.23675278259974858,I65,9185
300400,劲拓股份,0.23672513133991976,C35,20713
